Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Wichita,Weekly,"2023-01-29 00:00:00",Conventional,0.803764061,119356.69,27786.65,4824.12,60.60,33657.67,,,,53027.66
Wichita,Weekly,"2023-01-22 00:00:00",Conventional,0.817671814,118839.62,26973.78,5199.20,61.43,36389.76,,,,50215.45
Wichita,Weekly,"2023-01-15 00:00:00",Conventional,0.828549902,119085.48,28452.35,5877.91,91.78,33006.80,,,,51656.64
Wichita,Weekly,"2023-01-09 00:00:00",Conventional,0.797687226,119417.42,28000.82,6562.03,48.66,31980.06,,,,52825.84
California,Weekly,"2023-01-29 00:00:00",Conventional,1.105017596,6199148.89,1590082.43,341975.90,108160.17,1334984.95,,,,2823338.38
California,Weekly,"2023-01-22 00:00:00",Conventional,1.274838103,5696077.33,1375944.96,413401.51,119868.78,1242768.58,,,,2544093.50
California,Weekly,"2023-01-15 00:00:00",Conventional,1.309500669,5432486.87,1254240.07,443424.91,107757.15,1254218.59,,,,2372846.15
California,Weekly,"2023-01-09 00:00:00",Conventional,1.162430102,5997016.95,1568327.73,313942.64,147861.97,1228482.28,,,,2738402.34
"Great Lakes",Weekly,"2023-01-29 00:00:00",Conventional,1.006937812,4255830.64,991252.94,562871.66,130980.79,917906.59,,,,1652818.66
"Great Lakes",Weekly,"2023-01-22 00:00:00",Conventional,0.997187145,4088196.74,847469.61,601072.41,218538.16,916903.48,,,,1504213.08
"Great Lakes",Weekly,"2023-01-15 00:00:00",Conventional,1.023631993,4502357.98,836492.43,672157.48,384094.85,920889.84,,,,1688723.38
"Great Lakes",Weekly,"2023-01-09 00:00:00",Conventional,1.022676571,3961238.68,744626.45,623248.95,134940.53,1007081.10,,,,1451341.65
Midsouth,Weekly,"2023-01-29 00:00:00",Conventional,1.052323480,4241891.10,1196722.01,837490.43,9085.40,1288706.85,,,,909886.40
Midsouth,Weekly,"2023-01-22 00:00:00",Conventional,1.052813714,4230299.38,1174929.36,842807.46,10364.18,1339473.32,,,,862725.07
Midsouth,Weekly,"2023-01-15 00:00:00",Conventional,1.051813848,4254206.15,1207634.29,873257.18,16747.95,1304625.53,,,,851941.20
Midsouth,Weekly,"2023-01-09 00:00:00",Conventional,1.098627336,4037045.17,1098379.94,802529.87,9215.50,1304177.69,,,,822742.16
Northeast,Weekly,"2023-01-29 00:00:00",Conventional,1.173728901,5755616.26,788278.03,2851448.64,32130.12,1593574.68,,,,490184.80
Northeast,Weekly,"2023-01-22 00:00:00",Conventional,1.219628971,5429093.22,843045.27,2495282.77,32944.59,1598734.67,,,,459085.92
Northeast,Weekly,"2023-01-15 00:00:00",Conventional,1.204429917,5703110.63,763973.74,2906027.20,52156.32,1596660.93,,,,384292.43
Northeast,Weekly,"2023-01-09 00:00:00",Conventional,1.240815661,5070725.23,712899.96,2426454.19,30161.84,1515454.81,,,,385754.43
Plains,Weekly,"2023-01-29 00:00:00",Conventional,0.958443481,2122341.48,666636.33,431808.94,6288.74,664536.57,,,,353070.91
Plains,Weekly,"2023-01-22 00:00:00",Conventional,0.984364471,2069727.15,642561.59,386713.05,5258.31,675849.91,,,,359344.29
Plains,Weekly,"2023-01-15 00:00:00",Conventional,0.956258658,2085537.33,678918.54,412553.55,5894.47,634166.03,,,,354004.74
Plains,Weekly,"2023-01-09 00:00:00",Conventional,0.948345618,1994891.20,664587.52,372014.93,4426.91,600963.60,,,,352898.25
"South Central",Weekly,"2023-01-29 00:00:00",Conventional,0.767099433,5607030.07,1738620.62,380949.75,42720.11,1963740.08,,,,1480999.53
"South Central",Weekly,"2023-01-22 00:00:00",Conventional,0.762866081,5721341.76,1647957.92,548120.83,35852.16,2028627.90,,,,1460782.95
"South Central",Weekly,"2023-01-15 00:00:00",Conventional,0.780745362,5732017.62,1674986.21,538701.80,41556.49,2123010.68,,,,1353762.46
"South Central",Weekly,"2023-01-09 00:00:00",Conventional,0.802072072,5273093.91,1641059.84,522287.05,31018.15,1759870.26,,,,1318858.61
Southeast,Weekly,"2023-01-29 00:00:00",Conventional,0.909327882,6263642.80,3054885.00,139779.92,958.12,1481302.45,,,,1586698.52
Southeast,Weekly,"2023-01-22 00:00:00",Conventional,0.912666726,6187973.69,2987140.44,145766.18,1193.99,1555621.19,,,,1498227.47
Southeast,Weekly,"2023-01-15 00:00:00",Conventional,0.910212339,6112825.78,2896508.65,154211.47,1304.20,1499299.48,,,,1561501.98
Southeast,Weekly,"2023-01-09 00:00:00",Conventional,0.925130090,5791258.15,2842561.06,166189.88,1152.85,1341591.72,,,,1439747.03
West,Weekly,"2023-01-29 00:00:00",Conventional,0.966601789,7208461.00,1465483.65,667756.19,22920.31,1565620.63,,,,3486680.22
West,Weekly,"2023-01-22 00:00:00",Conventional,1.005646028,6874869.62,1537926.98,597581.61,25173.78,1666129.88,,,,3048057.37
West,Weekly,"2023-01-15 00:00:00",Conventional,1.016516456,6539555.60,1473438.71,662173.58,27474.58,1534431.82,,,,2842036.91
West,Weekly,"2023-01-09 00:00:00",Conventional,0.937525924,6919281.79,1397901.46,822332.99,25222.59,1473368.37,,,,3200456.38
"Total U.S.",Weekly,"2023-01-29 00:00:00",Conventional,0.992789358,41653962.24,11491961.01,6214081.43,353243.75,10810372.80,,,,12783677.41
"Total U.S.",Weekly,"2023-01-22 00:00:00",Conventional,1.026778725,40297578.88,11056976.12,6030745.83,449193.96,11024108.92,,,,11736529.63
"Total U.S.",Weekly,"2023-01-15 00:00:00",Conventional,1.034320058,40362097.96,10786192.65,6662507.17,636986.01,10867302.90,,,,11409109.24
"Total U.S.",Weekly,"2023-01-09 00:00:00",Conventional,1.017175055,39044551.08,10670343.94,6049000.49,384000.35,10230989.84,,,,11710200.85
Albany,Weekly,"2023-01-29 00:00:00",Organic,1.773194148,3424.50,49.92,366.73,0.00,2778.31,,,,229.55
Albany,Weekly,"2023-01-22 00:00:00",Organic,1.906406491,2482.55,11.21,254.51,2.04,2043.36,,,,171.44
Albany,Weekly,"2023-01-15 00:00:00",Organic,1.921445645,3076.88,83.54,346.40,0.00,2400.90,,,,246.04
Albany,Weekly,"2023-01-09 00:00:00",Organic,1.933881817,2682.33,20.35,412.48,1.02,2069.33,,,,179.15
Atlanta,Weekly,"2023-01-29 00:00:00",Organic,1.015919585,62354.71,68.52,2805.82,0.00,42617.94,,,,16862.43
Atlanta,Weekly,"2023-01-22 00:00:00",Organic,1.032849436,65981.56,90.31,3215.38,0.00,44456.87,,,,18219.00
Atlanta,Weekly,"2023-01-15 00:00:00",Organic,1.176503733,103940.72,113.33,8581.68,0.00,42465.76,,,,52779.95
Atlanta,Weekly,"2023-01-09 00:00:00",Organic,1.095538570,106805.09,163.96,16952.74,0.00,41908.08,,,,47780.32
Baltimore/Washington,Weekly,"2023-01-29 00:00:00",Organic,1.645410407,49219.31,262.97,3069.06,3.45,39818.09,,,,6065.76
Baltimore/Washington,Weekly,"2023-01-22 00:00:00",Organic,1.554563925,52138.92,356.99,2991.17,5.75,43044.22,,,,5740.79
Baltimore/Washington,Weekly,"2023-01-15 00:00:00",Organic,1.586081736,45526.55,524.75,2561.70,8.05,39317.56,,,,3114.49
Baltimore/Washington,Weekly,"2023-01-09 00:00:00",Organic,1.616551854,51433.36,502.66,2743.32,13.78,42722.90,,,,5450.71
Birmingham/Montgomery,Weekly,"2023-01-29 00:00:00",Organic,0.971750057,16830.70,55.37,101.87,0.00,15927.93,,,,745.54
Birmingham/Montgomery,Weekly,"2023-01-22 00:00:00",Organic,0.911681077,17640.23,38.16,231.59,0.00,16086.25,,,,1284.23
Birmingham/Montgomery,Weekly,"2023-01-15 00:00:00",Organic,1.029558718,19154.73,31.75,459.92,0.00,16514.16,,,,2148.90
Birmingham/Montgomery,Weekly,"2023-01-09 00:00:00",Organic,0.985099280,20998.17,42.52,797.70,0.00,15924.28,,,,4233.67
Boise,Weekly,"2023-01-29 00:00:00",Organic,1.464840765,7503.95,136.89,477.33,0.00,3334.80,,,,3554.93
Boise,Weekly,"2023-01-22 00:00:00",Organic,1.699106627,5699.79,133.90,418.62,0.00,1556.10,,,,3591.17
Boise,Weekly,"2023-01-15 00:00:00",Organic,1.756680514,8921.22,146.14,1348.50,0.00,992.25,,,,6434.34
Boise,Weekly,"2023-01-09 00:00:00",Organic,1.740314820,10182.33,103.03,1977.97,0.00,1159.20,,,,6942.13
Boston,Weekly,"2023-01-29 00:00:00",Organic,1.699739887,31790.74,61.28,1252.71,0.00,29788.79,,,,687.97
Boston,Weekly,"2023-01-22 00:00:00",Organic,1.744291119,32870.25,86.77,1369.44,0.00,30797.71,,,,616.33
Boston,Weekly,"2023-01-15 00:00:00",Organic,1.740987802,32920.73,70.94,1233.97,0.00,31013.32,,,,602.49
Boston,Weekly,"2023-01-09 00:00:00",Organic,1.775581105,31983.77,75.71,1640.33,0.00,29546.39,,,,721.36
Buffalo/Rochester,Weekly,"2023-01-29 00:00:00",Organic,1.762233138,9973.79,422.22,97.04,0.00,9441.25,,,,13.28
Buffalo/Rochester,Weekly,"2023-01-22 00:00:00",Organic,1.731754173,11269.21,414.83,67.01,0.00,10774.14,,,,13.24
Buffalo/Rochester,Weekly,"2023-01-15 00:00:00",Organic,1.645484979,12005.24,591.31,65.36,0.00,11341.99,,,,6.59
Buffalo/Rochester,Weekly,"2023-01-09 00:00:00",Organic,1.708188627,11611.09,606.27,41.10,0.00,10940.85,,,,22.88
Charlotte,Weekly,"2023-01-29 00:00:00",Organic,1.510478731,17691.68,124.54,2153.72,15.50,15028.64,,,,369.29
Charlotte,Weekly,"2023-01-22 00:00:00",Organic,1.510275668,18914.35,111.28,1742.85,15.50,16768.03,,,,276.68
Charlotte,Weekly,"2023-01-15 00:00:00",Organic,1.577625502,17845.25,210.40,1476.32,29.86,15168.39,,,,960.28
Charlotte,Weekly,"2023-01-09 00:00:00",Organic,1.571785305,19771.78,138.16,2062.35,15.48,17062.30,,,,493.49
Chicago,Weekly,"2023-01-29 00:00:00",Organic,1.496201324,36082.64,434.61,2460.67,0.00,18280.40,,,,14906.97
Chicago,Weekly,"2023-01-22 00:00:00",Organic,1.351147408,52612.96,1441.11,4038.13,0.00,21173.02,,,,25960.70
Chicago,Weekly,"2023-01-15 00:00:00",Organic,1.483770326,57024.23,919.59,6891.37,0.00,13861.22,,,,35352.06
Chicago,Weekly,"2023-01-09 00:00:00",Organic,1.570182143,42074.48,604.35,7321.07,0.00,16350.91,,,,17798.15
Cincinnati/Dayton,Weekly,"2023-01-29 00:00:00",Organic,1.741274738,10297.42,13.71,1975.56,0.00,3043.89,,,,5264.26
Cincinnati/Dayton,Weekly,"2023-01-22 00:00:00",Organic,1.745269046,11011.92,7.38,1520.58,0.00,3076.68,,,,6407.27
Cincinnati/Dayton,Weekly,"2023-01-15 00:00:00",Organic,1.724719337,9631.63,6.21,1957.11,0.00,2758.27,,,,4910.04
Cincinnati/Dayton,Weekly,"2023-01-09 00:00:00",Organic,1.684416764,8535.19,14.74,1586.02,0.00,3220.33,,,,3714.10
Columbus,Weekly,"2023-01-29 00:00:00",Organic,2.028711481,7948.17,446.45,543.23,0.00,2871.84,,,,4086.64
Columbus,Weekly,"2023-01-22 00:00:00",Organic,2.031830156,7721.15,610.20,564.87,0.00,2817.88,,,,3728.20
Columbus,Weekly,"2023-01-15 00:00:00",Organic,2.005752907,7136.84,454.42,558.60,0.00,2879.78,,,,3244.04
Columbus,Weekly,"2023-01-09 00:00:00",Organic,1.847322105,7440.10,429.18,609.55,0.00,3104.64,,,,3296.74
"Dallas/Ft. Worth",Weekly,"2023-01-29 00:00:00",Organic,1.303421637,43101.36,5637.90,444.27,0.00,25337.64,,,,11681.55
"Dallas/Ft. Worth",Weekly,"2023-01-22 00:00:00",Organic,1.315914228,38248.33,5702.13,343.37,0.00,22230.55,,,,9972.27
"Dallas/Ft. Worth",Weekly,"2023-01-15 00:00:00",Organic,1.314015959,36956.97,5792.27,310.41,0.00,21416.80,,,,9437.49
"Dallas/Ft. Worth",Weekly,"2023-01-09 00:00:00",Organic,1.319401763,40384.89,4974.62,400.77,0.00,23379.31,,,,11630.19
Denver,Weekly,"2023-01-29 00:00:00",Organic,1.098226254,41806.77,4332.84,385.78,0.00,13493.55,,,,23594.60
Denver,Weekly,"2023-01-22 00:00:00",Organic,1.064760059,54658.20,8424.39,407.11,0.00,8799.53,,,,37027.18
Denver,Weekly,"2023-01-15 00:00:00",Organic,1.082584097,142940.03,18868.63,536.04,0.00,3306.98,,,,120228.39
Denver,Weekly,"2023-01-09 00:00:00",Organic,1.192300008,119507.09,13103.81,641.18,2.13,3485.08,,,,102274.89
Detroit,Weekly,"2023-01-29 00:00:00",Organic,1.831774706,11326.21,384.57,1583.09,0.00,5508.75,,,,3849.80
Detroit,Weekly,"2023-01-22 00:00:00",Organic,1.888261322,10291.38,327.36,1450.08,0.00,5171.45,,,,3342.49
Detroit,Weekly,"2023-01-15 00:00:00",Organic,1.861137604,10507.64,301.01,1539.30,0.00,5484.86,,,,3182.47
Detroit,Weekly,"2023-01-09 00:00:00",Organic,1.685811378,11314.57,287.83,1808.37,0.00,5740.50,,,,3477.88
"Grand Rapids",Weekly,"2023-01-29 00:00:00",Organic,1.424919566,6469.00,26.47,2751.50,0.00,3691.03,,,,0.00
"Grand Rapids",Weekly,"2023-01-22 00:00:00",Organic,1.642485816,4601.86,0.00,535.70,0.00,4066.17,,,,0.00
"Grand Rapids",Weekly,"2023-01-15 00:00:00",Organic,1.753382715,4461.05,4.77,782.93,0.00,3673.36,,,,0.00
"Grand Rapids",Weekly,"2023-01-09 00:00:00",Organic,1.448230991,4705.05,8.33,805.91,0.00,3890.81,,,,0.00
Harrisburg/Scranton,Weekly,"2023-01-29 00:00:00",Organic,1.590082876,13129.35,157.15,454.84,0.00,12471.49,,,,45.87
Harrisburg/Scranton,Weekly,"2023-01-22 00:00:00",Organic,1.578570210,14523.06,295.88,532.53,0.00,13648.73,,,,45.92
Harrisburg/Scranton,Weekly,"2023-01-15 00:00:00",Organic,1.586377911,13913.55,280.94,480.88,0.00,13127.40,,,,24.33
Harrisburg/Scranton,Weekly,"2023-01-09 00:00:00",Organic,1.589610674,13901.45,257.12,436.54,0.00,13188.91,,,,18.89
Hartford/Springfield,Weekly,"2023-01-29 00:00:00",Organic,1.835507997,16085.76,425.34,3594.66,1.11,12002.82,,,,61.84
Hartford/Springfield,Weekly,"2023-01-22 00:00:00",Organic,1.769639967,17937.57,432.85,3785.41,5.57,13595.76,,,,117.98
Hartford/Springfield,Weekly,"2023-01-15 00:00:00",Organic,1.862032356,15242.27,577.40,3389.43,0.00,11225.14,,,,50.29
Hartford/Springfield,Weekly,"2023-01-09 00:00:00",Organic,1.934887127,16336.82,288.73,4230.19,0.00,11785.32,,,,32.57
Houston,Weekly,"2023-01-29 00:00:00",Organic,1.189526247,18445.43,3562.86,40.33,0.00,8774.27,,,,6067.97
Houston,Weekly,"2023-01-22 00:00:00",Organic,1.118207060,21657.34,3802.76,35.61,0.00,11919.79,,,,5899.19
Houston,Weekly,"2023-01-15 00:00:00",Organic,1.131195932,22429.22,4282.64,33.22,0.00,11762.50,,,,6350.86
Houston,Weekly,"2023-01-09 00:00:00",Organic,1.266585524,17990.66,3931.46,56.79,0.00,8156.52,,,,5845.90
Indianapolis,Weekly,"2023-01-29 00:00:00",Organic,1.522678797,7387.82,139.52,563.64,0.00,4170.09,,,,2514.56
Indianapolis,Weekly,"2023-01-22 00:00:00",Organic,1.562563781,7642.04,97.79,573.07,0.00,4005.28,,,,2965.91
Indianapolis,Weekly,"2023-01-15 00:00:00",Organic,1.604778625,7385.03,94.59,621.28,0.00,3624.62,,,,3044.54
Indianapolis,Weekly,"2023-01-09 00:00:00",Organic,1.575316407,6790.91,120.75,594.58,0.00,3324.11,,,,2751.46
Jacksonville,Weekly,"2023-01-29 00:00:00",Organic,1.262559226,10232.22,100.20,223.93,0.00,5877.27,,,,4030.82
Jacksonville,Weekly,"2023-01-22 00:00:00",Organic,1.210360222,10371.57,60.15,162.65,0.00,7172.24,,,,2976.53
Jacksonville,Weekly,"2023-01-15 00:00:00",Organic,0.803550870,23671.14,97.61,113.55,0.00,22565.86,,,,894.12
Jacksonville,Weekly,"2023-01-09 00:00:00",Organic,0.748395134,27506.65,116.43,154.56,0.00,27159.26,,,,76.40
"Las Vegas",Weekly,"2023-01-29 00:00:00",Organic,1.194285867,17135.21,1015.88,205.45,0.00,8587.95,,,,7325.94
"Las Vegas",Weekly,"2023-01-22 00:00:00",Organic,1.347278940,13024.35,922.16,245.05,0.00,4647.83,,,,7209.32
"Las Vegas",Weekly,"2023-01-15 00:00:00",Organic,1.490766917,10536.59,842.10,177.90,0.00,3333.75,,,,6182.84
"Las Vegas",Weekly,"2023-01-09 00:00:00",Organic,1.461622066,12506.33,1044.55,387.88,0.00,3872.93,,,,7200.97
"Los Angeles",Weekly,"2023-01-29 00:00:00",Organic,1.538201099,172127.12,6179.47,928.48,0.00,65095.14,,,,99924.02
"Los Angeles",Weekly,"2023-01-22 00:00:00",Organic,1.493673806,147981.95,8082.98,1124.53,0.00,66248.96,,,,72525.48
"Los Angeles",Weekly,"2023-01-15 00:00:00",Organic,0.962927549,314780.96,23657.70,1026.70,0.00,52364.83,,,,237731.73
"Los Angeles",Weekly,"2023-01-09 00:00:00",Organic,1.118153616,263726.48,18516.67,999.17,0.00,56141.48,,,,188069.16
Louisville,Weekly,"2023-01-29 00:00:00",Organic,2.127894842,4924.73,0.00,482.39,0.00,1085.89,,,,3356.45
Louisville,Weekly,"2023-01-22 00:00:00",Organic,2.046628737,4495.64,0.00,519.23,0.00,1161.44,,,,2814.97
Louisville,Weekly,"2023-01-15 00:00:00",Organic,2.088742734,3950.42,0.00,372.05,0.00,960.28,,,,2618.09
Louisville,Weekly,"2023-01-09 00:00:00",Organic,1.869402953,5158.65,20.79,571.53,0.00,1218.34,,,,3347.98
"Miami/Ft. Lauderdale",Weekly,"2023-01-29 00:00:00",Organic,1.285772126,33667.24,281.59,1.14,0.00,12850.19,,,,20534.32
"Miami/Ft. Lauderdale",Weekly,"2023-01-22 00:00:00",Organic,1.220216134,41689.73,420.38,4.56,0.00,13450.50,,,,27814.28
"Miami/Ft. Lauderdale",Weekly,"2023-01-15 00:00:00",Organic,1.119348466,46800.26,422.95,1.14,0.00,22561.62,,,,23814.54
"Miami/Ft. Lauderdale",Weekly,"2023-01-09 00:00:00",Organic,1.059619685,63413.87,668.75,0.00,0.00,25347.91,,,,37397.21
Nashville,Weekly,"2023-01-29 00:00:00",Organic,1.984532409,13153.64,73.93,962.63,0.00,5695.19,,,,6421.89
Nashville,Weekly,"2023-01-22 00:00:00",Organic,1.938490187,15150.68,96.13,1307.19,0.00,5031.24,,,,8716.11
Nashville,Weekly,"2023-01-15 00:00:00",Organic,1.711170337,20837.41,63.39,2045.27,0.00,5413.29,,,,13315.46
Nashville,Weekly,"2023-01-09 00:00:00",Organic,1.298392184,20185.98,98.81,2154.32,0.00,5161.89,,,,12770.96
"Northern New England",Weekly,"2023-01-29 00:00:00",Organic,1.725116542,15571.78,111.30,308.11,0.00,13477.81,,,,1674.55
"Northern New England",Weekly,"2023-01-22 00:00:00",Organic,2.016408564,12677.32,406.01,416.87,0.00,10091.92,,,,1762.52
"Northern New England",Weekly,"2023-01-15 00:00:00",Organic,2.035566840,13124.85,73.40,291.75,0.00,10552.83,,,,2206.87
"Northern New England",Weekly,"2023-01-09 00:00:00",Organic,2.057581130,13168.13,63.77,327.00,0.00,10598.22,,,,2179.13
"New Orleans/Mobile",Weekly,"2023-01-29 00:00:00",Organic,1.209205068,3521.61,113.82,51.12,0.00,3074.79,,,,281.88
"New Orleans/Mobile",Weekly,"2023-01-22 00:00:00",Organic,1.134178020,4690.88,319.16,41.66,0.00,2680.24,,,,1649.81
"New Orleans/Mobile",Weekly,"2023-01-15 00:00:00",Organic,1.252516080,3844.60,201.21,83.01,0.00,3365.36,,,,195.01
"New Orleans/Mobile",Weekly,"2023-01-09 00:00:00",Organic,1.093456167,6546.44,162.12,57.36,0.00,3571.93,,,,2755.03
"New York",Weekly,"2023-01-29 00:00:00",Organic,1.681369283,91682.43,3768.72,2177.22,3.14,76480.36,,,,9252.99
"New York",Weekly,"2023-01-22 00:00:00",Organic,1.607382940,103994.99,4890.15,2524.24,14.12,87832.99,,,,8733.48
"New York",Weekly,"2023-01-15 00:00:00",Organic,1.743145538,85338.08,7521.84,1847.01,12.52,68783.24,,,,7173.48
"New York",Weekly,"2023-01-09 00:00:00",Organic,1.778681612,81752.02,3869.37,2128.95,0.00,67530.01,,,,8223.69
Orlando,Weekly,"2023-01-29 00:00:00",Organic,1.273245406,27764.99,222.12,0.00,0.00,19376.68,,,,8166.19
Orlando,Weekly,"2023-01-22 00:00:00",Organic,1.153171739,30169.06,244.84,0.00,0.00,15794.43,,,,14129.79
Orlando,Weekly,"2023-01-15 00:00:00",Organic,0.877360083,51370.44,312.98,0.00,0.00,35126.26,,,,15931.21
Orlando,Weekly,"2023-01-09 00:00:00",Organic,0.833667410,61975.43,477.07,0.00,0.00,43298.34,,,,18200.02
Peoria/Springfield,Weekly,"2023-01-29 00:00:00",Organic,1.511653729,3511.62,1.89,226.53,0.00,2768.25,,,,514.95
Peoria/Springfield,Weekly,"2023-01-22 00:00:00",Organic,1.620971112,3439.40,0.00,260.90,0.00,2505.92,,,,672.58
Peoria/Springfield,Weekly,"2023-01-15 00:00:00",Organic,1.584135176,3165.35,0.00,300.83,0.00,2233.72,,,,630.79
Peoria/Springfield,Weekly,"2023-01-09 00:00:00",Organic,1.645126244,2814.31,0.00,239.22,0.00,1780.44,,,,794.65
Philadelphia,Weekly,"2023-01-29 00:00:00",Organic,1.720274916,25082.23,998.40,1036.23,1.15,19561.72,,,,3484.74
Philadelphia,Weekly,"2023-01-22 00:00:00",Organic,1.615989761,27771.52,1283.61,951.38,1.15,22765.99,,,,2769.38
Philadelphia,Weekly,"2023-01-15 00:00:00",Organic,1.625233542,24007.58,1879.74,1107.28,0.00,19586.45,,,,1434.10
Philadelphia,Weekly,"2023-01-09 00:00:00",Organic,1.702870553,24964.00,1288.02,969.51,0.00,20065.48,,,,2640.99
Phoenix/Tucson,Weekly,"2023-01-29 00:00:00",Organic,1.203934281,30134.19,2312.04,467.48,0.00,13085.76,,,,14268.92
Phoenix/Tucson,Weekly,"2023-01-22 00:00:00",Organic,1.496421973,19366.55,2346.21,421.68,0.00,1660.18,,,,14938.48
Phoenix/Tucson,Weekly,"2023-01-15 00:00:00",Organic,1.548076862,16805.78,2006.93,543.21,0.00,2026.89,,,,12228.74
Phoenix/Tucson,Weekly,"2023-01-09 00:00:00",Organic,1.344514219,25703.85,2080.21,1044.03,0.00,10648.84,,,,11930.78
Pittsburgh,Weekly,"2023-01-29 00:00:00",Organic,1.638245470,8326.04,884.30,230.60,0.00,6199.24,,,,1011.89
Pittsburgh,Weekly,"2023-01-22 00:00:00",Organic,1.426701911,8509.92,1715.99,230.37,0.00,5735.85,,,,827.71
Pittsburgh,Weekly,"2023-01-15 00:00:00",Organic,1.573627576,8106.57,949.02,6.76,0.00,6482.61,,,,668.19
Pittsburgh,Weekly,"2023-01-09 00:00:00",Organic,1.481316795,8635.01,1271.84,1.36,0.00,6439.12,,,,922.69
Portland,Weekly,"2023-01-29 00:00:00",Organic,1.915851376,32541.81,11.82,4124.70,0.00,7266.79,,,,21138.51
Portland,Weekly,"2023-01-22 00:00:00",Organic,2.016763673,29881.10,5.90,4095.96,0.00,3547.16,,,,22232.07
Portland,Weekly,"2023-01-15 00:00:00",Organic,1.875463437,68838.45,58.39,12207.29,0.00,2630.91,,,,53941.86
Portland,Weekly,"2023-01-09 00:00:00",Organic,1.851897333,76916.48,70.90,18609.99,1.33,3376.28,,,,54857.98
Providence,Weekly,"2023-01-29 00:00:00",Organic,1.756344188,3713.88,13.93,1.39,0.00,3698.56,,,,0.00
Providence,Weekly,"2023-01-22 00:00:00",Organic,1.775337111,3963.24,6.96,20.45,0.00,3935.84,,,,0.00
Providence,Weekly,"2023-01-15 00:00:00",Organic,1.738832421,4196.07,16.68,9.73,0.00,4169.65,,,,0.00
Providence,Weekly,"2023-01-09 00:00:00",Organic,1.739549109,4153.79,9.70,5.54,0.00,4138.54,,,,0.00
Raleigh/Greensboro,Weekly,"2023-01-29 00:00:00",Organic,1.517732206,22298.59,618.64,2199.39,16.00,19383.93,,,,80.63
Raleigh/Greensboro,Weekly,"2023-01-22 00:00:00",Organic,1.516566323,26312.71,520.61,1695.19,19.20,23903.43,,,,174.27
Raleigh/Greensboro,Weekly,"2023-01-15 00:00:00",Organic,1.515270287,25610.74,529.51,1428.57,23.47,22951.77,,,,677.42
Raleigh/Greensboro,Weekly,"2023-01-09 00:00:00",Organic,1.553642385,26519.48,489.35,1898.51,6.40,23885.13,,,,240.09
Richmond/Norfolk,Weekly,"2023-01-29 00:00:00",Organic,1.480570765,17408.54,3.98,1068.20,4.29,14208.87,,,,2123.20
Richmond/Norfolk,Weekly,"2023-01-22 00:00:00",Organic,1.353288503,24484.84,10.65,1026.48,4.29,20156.57,,,,3286.83
Richmond/Norfolk,Weekly,"2023-01-15 00:00:00",Organic,1.543246397,33275.67,2.15,2967.35,1.07,16052.98,,,,14252.12
Richmond/Norfolk,Weekly,"2023-01-09 00:00:00",Organic,1.484586191,41178.20,7.52,3768.68,1.07,18623.51,,,,18777.42
Roanoke,Weekly,"2023-01-29 00:00:00",Organic,1.596187848,8609.30,4.20,552.64,0.00,5461.20,,,,2591.25
Roanoke,Weekly,"2023-01-22 00:00:00",Organic,1.668278853,9320.18,3.78,654.46,0.00,5834.59,,,,2827.35
Roanoke,Weekly,"2023-01-15 00:00:00",Organic,1.632545867,23609.46,4.20,2937.59,0.00,5493.12,,,,15174.55
Roanoke,Weekly,"2023-01-09 00:00:00",Organic,1.639856356,28218.78,2.83,3293.07,0.00,5284.15,,,,19638.72
Sacramento,Weekly,"2023-01-29 00:00:00",Organic,1.119797419,41157.37,3264.13,1704.67,0.00,33398.95,,,,2789.63
Sacramento,Weekly,"2023-01-22 00:00:00",Organic,1.143518362,41213.03,2715.09,1243.90,0.00,33302.94,,,,3951.10
Sacramento,Weekly,"2023-01-15 00:00:00",Organic,1.276420340,34362.58,2611.01,1108.08,0.00,26761.47,,,,3882.02
Sacramento,Weekly,"2023-01-09 00:00:00",Organic,1.210545802,37643.30,2542.40,1189.17,0.00,30224.80,,,,3686.92
"San Diego",Weekly,"2023-01-29 00:00:00",Organic,1.839997539,26413.73,1511.88,440.01,0.00,9317.31,,,,15144.54
"San Diego",Weekly,"2023-01-22 00:00:00",Organic,1.823127280,24102.47,2202.59,413.25,0.00,9146.55,,,,12340.09
"San Diego",Weekly,"2023-01-15 00:00:00",Organic,1.268643133,53863.63,4451.59,510.75,0.00,4686.15,,,,44215.15
"San Diego",Weekly,"2023-01-09 00:00:00",Organic,1.411042804,38880.48,3652.34,498.29,0.00,6283.07,,,,28446.78
"San Francisco",Weekly,"2023-01-29 00:00:00",Organic,1.909702458,62572.89,5127.05,2316.52,0.00,40062.73,,,,15066.59
"San Francisco",Weekly,"2023-01-22 00:00:00",Organic,1.855387525,65343.19,4647.64,1815.44,0.00,39048.84,,,,19831.27
"San Francisco",Weekly,"2023-01-15 00:00:00",Organic,1.954115028,68558.41,4168.15,1688.27,0.00,39702.33,,,,22999.66
"San Francisco",Weekly,"2023-01-09 00:00:00",Organic,1.991077908,68496.27,4026.93,1647.83,0.00,43029.75,,,,19791.76
